Deprecated_Index,NAME,HIS,MBTI,source,url
7139,Skye Dakota Turner,Wizards,ENTP,https://boo.world/database/profile/17888/skye-dakota-turner-personality-type,boo.world
7140,Balthazar Getty,Knights,ISTJ,https://boo.world/database/profile/1849/balthazar-getty-personality-type,boo.world
7141,Geraldine Viswanathan,Healers,ENFP,https://boo.world/database/profile/6876/geraldine-viswanathan-personality-type,boo.world
7142,Isabella Laughland,Healers,ENFP,https://boo.world/database/profile/7875/isabella-laughland-personality-type,boo.world
7143,Monica Lacy,Explorers,ISFP,https://boo.world/database/profile/14199/monica-lacy-personality-type,boo.world
7144,Yolanda Lynes,Explorers,ISTP,https://boo.world/database/profile/20024/yolanda-lynes-personality-type,boo.world
7145,Delphine Seyrig,Knights,ISFJ,https://boo.world/database/profile/4951/delphine-seyrig-personality-type,boo.world
7146,Eun-bin Park,Healers,ENFP,https://boo.world/database/profile/6190/eun-bin-park-personality-type,boo.world
7147,Elinor Donahue,Healers,ENFP,https://boo.world/database/profile/5647/elinor-donahue-personality-type,boo.world
7148,Sai Pallavi,Explorers,ISFP,https://boo.world/database/profile/17012/sai-pallavi-personality-type,boo.world
7149,Ricci Harnett,Knights,ESTJ,https://boo.world/database/profile/16170/ricci-harnett-personality-type,boo.world
7150,Susan Hampshire,Healers,ENFJ,https://boo.world/database/profile/18383/susan-hampshire-personality-type,boo.world
7151,Gratiela Brancusi,Wizards,ENTP,https://boo.world/database/profile/7111/gratiela-brancusi-personality-type,boo.world
7152,Nicholas D'Agosto,Healers,ENFP,https://boo.world/database/profile/14591/nicholas-dagosto-personality-type,boo.world
7153,Kenzie Dalton,Explorers,ESTP,https://boo.world/database/profile/10937/kenzie-dalton-personality-type,boo.world
7154,Robert Pattinson,Healers,INFP,https://boo.world/database/profile/16524/robert-pattinson-personality-type,boo.world
7155,Jonathan Togo,Explorers,ESFP,https://boo.world/database/profile/9853/jonathan-togo-personality-type,boo.world
7156,Rupert Friend,Knights,ESFJ,https://boo.world/database/profile/16873/rupert-friend-personality-type,boo.world
7157,Leo McKern,Healers,INFP,https://boo.world/database/profile/11763/leo-mckern-personality-type,boo.world
7158,Blair Brown,Wizards,ENTJ,https://boo.world/database/profile/2327/blair-brown-personality-type,boo.world
7160,Arleen Sorkin,Healers,INFJ,https://boo.world/database/profile/1595/arleen-sorkin-personality-type,boo.world
7161,Chris Olivero,Explorers,ESFP,https://boo.world/database/profile/3588/chris-olivero-personality-type,boo.world
7162,Michael Chernus,Wizards,INTP,https://boo.world/database/profile/13651/michael-chernus-personality-type,boo.world
7163,Nigel Lindsay,Knights,ESFJ,https://boo.world/database/profile/14737/nigel-lindsay-personality-type,boo.world
7164,Bailee Michelle Johnson,Wizards,ENTJ,https://boo.world/database/profile/1842/bailee-michelle-johnson-personality-type,boo.world
7165,Marni Nixon,Healers,ENFJ,https://boo.world/database/profile/13000/marni-nixon-personality-type,boo.world
